,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
163,250180857,359900.0,2.0,2124.0,3,3.6666666666666665,1,12,1,-97.71546173095705,1,78744,1.98,2019-11-22,11,2019
164,29372965,350000.0,3.0,2965.0,4,8.666666666666666,2,16,1,-97.81404876708984,0,78750,1.98,2019-02-22,2,2019
165,185217429,449000.0,4.0,3205.0,5,8.333333333333334,2,16,1,-97.79851531982422,1,78717,2.21,2019-09-16,9,2019
166,89551997,1799000.0,5.0,5449.0,5,8.333333333333334,2,17,1,-97.9140396118164,1,78732,1.98,2018-05-05,5,2018
167,29353978,1499000.0,5.0,5099.0,5,7.0,2,16,1,-97.83673858642578,1,78730,1.98,2020-08-14,8,2020
168,2089686965,425900.0,3.0,2403.0,3,3.6666666666666665,1,11,2,-97.6427764892578,1,78724,1.98,2019-02-21,2,2019
169,29370836,595000.0,4.0,3939.0,5,7.0,2,16,1,-97.8601531982422,1,78726,1.98,2019-11-08,11,2019
170,29375964,625000.0,3.0,2116.0,3,8.666666666666666,1,16,1,-97.79505920410156,0,78750,1.98,2020-12-22,12,2020
171,116080928,729000.0,3.0,3409.0,4,7.666666666666668,1,14,1,-97.79361724853516,1,78717,2.21,2020-05-14,5,2020
172,29353976,993000.0,4.0,3848.0,5,7.0,2,16,1,-97.83609008789062,1,78730,1.98,2018-04-26,4,2018
173,29459882,199000.0,2.0,1786.0,4,3.0,1,13,1,-97.58519744873048,1,78725,1.98,2018-12-14,12,2018
174,2087922352,365990.0,3.0,2289.0,3,3.6666666666666665,1,12,1,-97.71661376953124,1,78744,1.98,2019-03-15,3,2019
175,29366834,240000.0,1.0,596.0,2,7.0,1,16,1,-97.88702392578124,1,78732,1.98,2018-03-20,3,2018
176,29465145,220000.0,2.0,1554.0,4,3.0,1,13,1,-97.62696838378906,1,78725,1.98,2020-08-31,8,2020
177,80090962,265000.0,2.0,1704.0,3,3.6666666666666665,1,11,2,-97.63169860839844,1,78724,1.98,2020-07-15,7,2020
178,29374964,445000.0,3.0,2852.0,3,8.0,2,15,1,-97.82742309570312,1,78726,1.98,2020-02-03,2,2020
179,120896203,315000.0,2.5,2505.0,4,2.6666666666666665,2,14,1,-97.6622543334961,1,78660,1.98,2020-07-24,7,2020
180,70341343,95000.0,3.0,2088.0,4,3.0,2,13,1,-97.58968353271484,1,78725,1.98,2018-11-20,11,2018
181,70338381,179900.0,2.0,1206.0,3,2.6666666666666665,1,13,1,-97.57906341552734,1,78724,1.98,2018-08-17,8,2018
